spotify_id,popularity,danceability,energy,acousticness,instrumentalness,liveness,speechiness,tempo,valence,mode,key,album_release_date,release_year,release_month,release_day,release_recency,first_snapshot_date,last_snapshot_date,days_on_spotify,popularity_class
2s0ECLNrusYkBud3ZuoVrc,70,0.629,0.493,0.43999999999999995,0.0,0.112,0.37300000000000005,68.042,0.512,1.0,1.0,2024-07-31,2024,7,31,112,2024-10-05,2024-10-29,24,1
2s0v4Q14vbu2jUpuNTBcww,68,0.529,0.846,0.0258,0.0,0.303,0.317,189.61,0.682,0.0,1.0,2023-12-30,2023,12,30,326,2024-01-04,2024-02-09,36,1
2s48bwi9I2aueqJ7S5lYfw,28,0.713,0.621,0.0216,0.0,0.117,0.0516,107.957,0.335,0.0,4.0,2019-10-08,2019,10,8,1870,2024-08-26,2024-08-26,0,0
2s71qkQqYhiATWNc5wllZv,49,0.819,0.683,0.222,0.0063100000000000005,0.0678,0.17,110.937,0.575,1.0,7.0,2024-09-13,2024,9,13,68,2024-09-15,2024-10-05,20,1
2s7W9w8K9eg4eZwZWmGsTn,35,0.708,0.501,0.511,0.0,0.0885,0.0793,88.029,0.343,0.0,0.0,2024-10-25,2024,10,25,26,2024-10-27,2024-10-31,4,0
2sD709AK9zRN6SKUmDhGEa,81,0.48,0.418,0.609,1.6e-05,0.148,0.0313,125.51300000000002,0.207,1.0,7.0,2021-03-05,2021,3,5,1356,2024-02-10,2024-10-31,264,2
2sDpgaCjqclySSoPWqXlrY,57,0.639,0.644,0.0787,0.0,0.384,0.32,127.795,0.477,0.0,5.0,2024-08-08,2024,8,8,104,2024-08-09,2024-08-23,14,1
2sKHevALE8DKDkwEo04Pbh,81,0.754,0.53,0.0659,8.7e-05,0.0746,0.0563,135.992,0.664,0.0,5.0,2024-08-23,2024,8,23,89,2024-08-24,2024-09-24,31,2
2sNrirJx5Se5MO2tU2lJVL,59,0.771,0.666,0.318,1.45e-06,0.0909,0.159,140.03,0.737,0.0,5.0,2021-11-17,2021,11,17,1099,2023-10-18,2023-10-21,3,1
2sR1e5YFAvXVN6EiIwR2is,0,0.749,0.573,0.166,6.82e-05,0.423,0.186,73.994,0.64,1.0,8.0,2024-05-24,2024,5,24,180,2024-05-25,2024-05-25,0,0
2sR8MJNpZ2rucdoWlaAWK1,57,0.658,0.755,0.596,1.8999999999999998e-06,0.11,0.0772,170.018,0.606,0.0,6.0,2024-06-13,2024,6,13,160,2024-06-17,2024-06-19,2,1
2sTDlCxmuZCTDKKk9f1qus,86,0.651,0.799,0.143,0.634,0.11199999999999999,0.0611,143.992,0.223,0.0,9.0,2023-10-13,2023,10,13,404,2023-10-18,2024-01-20,94,2
2sTXJinZQxl58tFCTYtEqa,78,0.877,0.595,0.403,0.00056,0.0753,0.0449,117.93399999999998,0.718,1.0,8.0,2024-02-16,2024,2,16,278,2024-02-18,2024-05-01,73,2
2sULdMKWdBdK2ZtntuFvSb,74,0.32,0.266,0.953,0.237,0.119,0.0298,99.891,0.177,1.0,2.0,2019-12-10,2019,12,10,1807,2024-06-01,2024-06-04,3,2
2sXnat46y10FtAbW2A0ira,63,0.583,0.784,0.06210000000000001,4.49e-05,0.171,0.0882,135.08,0.744,0.0,6.0,2022-03-11,2022,3,11,985,2023-10-18,2024-08-28,315,1
2sYFUcurlISdHlAsnYCEgD,89,0.629,0.805,0.242,0.0,0.556,0.0452,124.041,0.589,1.0,9.0,2023-10-12,2023,10,12,405,2023-12-13,2024-07-07,207,2
